CLIENTE_ID,CLIENTE_NOME,EQUIPAMENTO_ID,TOMBO,EQUIPAMENTO_NOME,SITUACAO,ORGAO_CLIENTE,DATA_LOCACAO,CONTRATO,ITEM_DO_CONTRATO,DESCRICAO_ITEM,QUANTIDADE_ITEM_NO_CONTRATO,ID_EVENTO,TIPO_EQUIPAMENTO,CONTRACT_ID
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,88794,MULTIFUNCIONAL LASER MONO PANTUM BM5110ADW NS CR7RV00137,Alugado,AS SISTEMAS,19/08/2025,GOVERNO MUNICIPAL DE URUOCA - FUNDO MUNICIPAL DE SAÚDE,Outsourcing de Impressão P&B,PANTUM BM5100FDW,3,714,,260
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,88793,MULTIFUNCIONAL LASER MONO PANTUM BM5110ADW NS CR7RV0011A,Alugado,AS SISTEMAS,19/08/2025,GOVERNO MUNICIPAL DE URUOCA - FUNDO MUNICIPAL DE SAÚDE,Outsourcing de Impressão P&B,PANTUM BM5100FDW,3,714,,260
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,83891,MULTIFUNCIONAL JATO DE TINTA CANON GX7010 NS KNDX23470,Substituição Alugado,AS SISTEMAS,28/01/2026,GOVERNO MUNICIPAL DE URUOCA - FUNDO MUNICIPAL DE EDUCAÇÃO,Outsourcing de Impressão Colorida,CANON 6010,2,716,,261
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,88792,MULTIFUNCIONAL LASER MONO PANTUM BM5110ADW NS CR7RV00132,Alugado,AS SISTEMAS,19/08/2025,GOVERNO MUNICIPAL DE URUOCA - FUNDO MUNICIPAL DE SAÚDE,Outsourcing de Impressão P&B,PANTUM BM5100FDW,3,714,,260
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,88791,MULTIFUNCIONAL LASER MONO PANTUM BM5110ADW NS CR7RV0013B,Alugado,AS SISTEMAS,19/08/2025,GOVERNO MUNICIPAL DE URUOCA - FUNDO MUNICIPAL DE SAÚDE,Outsourcing de Impressão P&B,PANTUM BM5100FDW,3,714,,260
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,88789,MULTIFUNCIONAL LASER MONO PANTUM BM5110ADW NS CR7RV0012J,Alugado,AS SISTEMAS,26/09/2025,GOVERNO MUNICIPAL DE URUOCA - FUNDO MUNICIPAL DE SAÚDE,Outsourcing de Impressão P&B,PANTUM BM5100FDW,3,714,,260
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,88788,MULTIFUNCIONAL LASER MONO PANTUM BM5110ADW NS CR7RV0011V,Alugado,AS SISTEMAS,19/08/2025,GOVERNO MUNICIPAL DE URUOCA - FUNDEB- FUNDO DES.DA EDUCACAO BASICA E VAL MAGIST,Outsourcing de Impressão P&B,PANTUM BM5100FDW,6,708,,257
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,88787,MULTIFUNCIONAL LASER MONO PANTUM BM5110ADW NS CR7RV0011E,Alugado,AS SISTEMAS,19/08/2025,GOVERNO MUNICIPAL DE URUOCA - FUNDEB- FUNDO DES.DA EDUCACAO BASICA E VAL MAGIST,Outsourcing de Impressão P&B,PANTUM BM5100FDW,6,708,,257
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,83889,MULTIFUNCIONAL JATO DE TINTA CANON GX7010 NS KNDX23468,Alugado,AS SISTEMAS,19/08/2025,GOVERNO MUNICIPAL DE URUOCA - FUNDO MUNICIPAL DE EDUCAÇÃO,Outsourcing de Impressão Colorida,CANON 6010,2,716,,261
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,88783,MULTIFUNCIONAL LASER MONO PANTUM BM5110ADW NS CR7RV00135,Alugado,AS SISTEMAS,05/09/2025,GOVERNO MUNICIPAL DE URUOCA - FUNDEB- FUNDO DES.DA EDUCACAO BASICA E VAL MAGIST,Outsourcing de Impressão P&B,PANTUM BM5100FDW,6,708,,257
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,83872,TRANSFORMADOR 2000VA FORCELINE,Alugado,,19/08/2025,,,,,,,
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,83871,TRANSFORMADOR 2000VA FORCELINE,Alugado,,19/08/2025,,,,,,,
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,83870,TRANSFORMADOR 2000VA FORCELINE,Substituição Alugado,,01/09/2025,,,,,,,
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,87563,TRANSFORMADOR 2000VA FORCELINE,Alugado,,19/08/2025,,,,,,,
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,87549,TRANSFORMADOR 2000VA FORCELINE,Alugado,,19/08/2025,,,,,,,
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,86914,TRANSFORMADOR 2000VA FORCELINE,Alugado,,19/08/2025,,,,,,,
