id,name,is_kit,created_at,updated_at,deleted_at
75,TRIPE P/ CAMERA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
76,IMPRESSORA JATO DE TINTA MONO,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
77,ANTENA DE TV,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
78,CASE P/ HD EXTERNO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
79,MAQUINA DE ESPUMA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
80,MULTIFUNCIONAL JATO DE TINTA MONO,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
81,CARREGADOR DE PILHAS,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
82,IMPRESSORA DE ETIQUETAS,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
83,GABINETE P/ IMPRESSORA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
84,MAQUINA DE FUMACA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
85,NANO STATION,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
86,LUMINARIA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
87,LOUSA DIGITAL,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
88,CALCULADORA ELETRICA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
89,ALL IN ONE,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
90,IMPRESSORA DE PULSEIRAS,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
91,CARRINHO P/ TRANSPORTE DE EQUIPAMENTOS,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
92,MODEM,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
93,CELULAR,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
94,REFILADORA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
95,APRESENTADOR DE SLIDES,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
96,ADAPTADOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
97,TELEFONE,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
98,MAQUINA DE SOLDA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
99,OSCILOSCOPIO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
